"","CV_QC","CV_Samples"
"M35457",95.0366778085762,101.190813244444
"M11821",16.8729821189996,88.1656202059262
"M3640",17.1323472916823,101.887702885309
"M4667",16.1568781671654,67.6728453466564
"M16956",74.6549615164189,87.3452885382105
"M30474",72.18623653188,88.9243812722551
"M40668",143.759280551154,166.952001270118
"M41461",138.400016204386,214.93461540424
"M13513",32.9613305712905,124.534211930891
"M17072",31.797733790037,62.5910191265423
"M13076",23.7740930719222,63.4674656325774
"M16957",95.391892638535,61.0978506653781
"M30475",80.3282735305875,230.35511139881
"M31210",85.5615423510495,107.637413174726
"M25320",22.1293476142716,86.7770534667502
"M40794",237.955543438046,93.5533964199426
"M33574",125.963077784501,185.905372069949
"M42231",226.14299726003,130.497563334537
"M27848",55.1699795151147,94.8895990869179
"M25321",53.8791489791748,109.063366867123
"M14925",10.7509439129028,105.921652199996
"M30950",71.9354786313463,115.181593520967
"M26127",22.7521299392874,112.803800120444
"M15543",16.9894481320762,112.075885725613
"M6308",9.8897113092356,76.8393590423714
"M15173",19.0396817636139,74.1442210744906
"M15034",59.7179642453925,49.2159885986022
"M2462",70.2642751247499,59.9230639735206
"M18646",34.122413878308,125.319151761738
"M31433",114.415775972243,106.020066163983
"M9819",10.3852377723305,109.964470493479
"M22889",99.6569980131177,56.5021725882517
"M30115",76.3682061107505,208.360525270371
"M31775",54.7296761364042,160.393249848435
"M9316",37.1643628020379,62.2454258981437
"M6596",200.025106079871,80.5562415407928
"M21794",33.3225080310737,42.6911400400367
"M14803",34.3944391323417,49.5010513520958
"M14561",23.4293098423415,79.4620057272805
"M8520",13.8032924765103,96.2613877887132
"M21916",99.5683340436958,95.145619238195
"M83",20.3497518668097,100.457008946795
"M1748",16.3037049130381,68.6189340602672
"M27727",26.3968591966827,49.7872924707968
"M36471",174.153872848762,175.469956074189
"M13385",25.0741945629208,47.3670076008152
"M3641",26.1653600114237,75.658394335611
"M19474",35.0387719345715,150.051044394504
"M34606",122.611849350632,192.947891249863
"M13077",11.4056500055702,124.660660139418
"M20064",67.0550014994848,115.878131611346
"M27094",24.4547793272537,45.4680790280061
"M9409",34.417657985062,62.6673193873988
"M36071",93.8140765780032,156.647796017472
"M12680",22.2292900794759,63.8490273484631
"M20725",68.6172993028032,115.953460173024
"M41881",159.110490377436,285.422262675338
"M32723",101.333290363802,80.5584925230555
"M25322",24.359122614937,82.6367759008451
"M34343",145.983336665898,232.276952998357
"M2285",72.3096626194939,47.738736889117
"M2286",81.8385935486036,82.7620208935044
"M35696",132.272032090771,215.532611739037
"M2287",75.5728960255591,84.0911331623465
"M7342",19.6739480163006,83.1372586580243
"M9410",24.0067455551459,146.48400775057
"M191",100.660829302349,74.9544198587689
"M24433",65.3732828990747,45.4762303794462
"M16703",26.6291841579809,57.8035860953441
"M2288",84.5378457512782,54.2489863555457
"M17612",83.6573708547254,74.1548273922857
"M34344",121.546085010869,111.35458996713
"M1560",38.8668400908304,233.564003594056
"M1561",36.4028747448642,155.325426060115
"M1562",20.300802494584,232.543974345103
"M22076",78.9843363108632,167.168681588157
"M27542",71.0213777306534,121.239829004286
"M2289",71.9407166372949,62.0000507242948
"M2290",80.925904561392,84.2517126562903
"M6814",11.1765220986371,128.829138707939
"M2933",10.7302718460791,94.6203852930851
"M20835",74.4795768024824,181.616075301198
"M9620",17.6977112180164,58.9469502556551
"M2291",8.47837587844381,74.7942442682093
"M1563",19.672915527331,192.244972472795
"M22077",91.18162076266,153.719978799973
"M13620",14.4584789811367,84.3793197232956
"M2292",41.9368031330361,58.137137032478
